cmod, load_min, load_max
0.0006597371, 42.54, 18.86
0.0006622456, 43.82, 18.86
0.0006647541, 45.10, 18.86
0.0006672626, 46.38, 18.86
0.0006697711, 47.66, 18.86
0.0006722796, 48.94, 18.86
0.0006747881, 50.22, 18.86
0.0006772966, 51.50, 18.86
0.0006798052, 52.78, 18.86
0.0006823137, 54.06, 18.86
0.0006848222, 55.34, 18.86
0.0006873307, 56.62, 18.86
0.0006898392, 57.90, 18.86
0.0006923477, 59.18, 18.86
0.0006948562, 60.46, 18.86
0.0006973647, 61.74, 18.86
0.0006998732, 63.02, 18.86
0.0007023817, 64.30, 18.86
0.0007048902, 65.58, 18.86
0.0007073987, 66.86, 18.86
0.0007099072, 68.14, 18.86
0.0007124157, 69.42, 18.86
0.0007149242, 70.70, 18.86
0.0007174327, 71.98, 18.86
0.0007199412, 73.26, 18.86
0.0007224498, 74.54, 18.86
0.0007249583, 75.82, 18.86
0.0007274668, 77.10, 18.86
0.0007299753, 78.38, 18.86
0.0007324838, 79.66, 18.86
0.0007349923, 80.94, 18.86
0.0007375008, 82.22, 18.86
0.0007400093, 83.50, 18.86
0.0007425178, 84.78, 18.86
0.0007450263, 86.06, 18.86
0.0007475348, 87.34, 18.86
0.0007500433, 88.62, 18.86
0.0007525518, 89.90, 18.86
0.0007550603, 91.18, 18.86
0.0007575688, 92.46, 18.86
0.0007600773, 93.74, 18.86
0.0007625859, 95.02, 18.86
0.0007650944, 96.30, 18.86
0.0007676029, 97.58, 18.86
0.0007701114, 98.86, 18.86
0.0007726199, 100.14, 18.86
0.0007751284, 101.42, 18.86
0.0007776369, 102.70, 18.86
0.0007801454, 103.98, 18.86
0.0007826539, 105.26, 18.86
0.0007851624, 106.54, 18.86
0.0007876709, 107.82, 18.86
0.0007901794, 109.10, 18.86
0.0007926879, 110.38, 18.86
0.0007951964, 111.66, 18.86
0.0007977049, 112.94, 18.86
0.0008002134, 114.22, 18.86
0.0008027220, 115.50, 18.86
0.0008052305, 116.78, 18.86
0.0008077390, 118.06, 18.86
0.0008102475, 119.34, 18.86
0.0008127560, 120.62, 18.86
0.0008152645, 121.90, 18.86
0.0008177730, 123.18, 18.86
0.0008202815, 124.46, 18.86
0.0008227900, 125.74, 18.86
0.0008252985, 127.02, 18.86
0.0008278070, 128.30, 18.86
0.0008303155, 129.58, 18.86
0.0008328240, 130.86, 18.86
0.0008353325, 132.14, 18.86
0.0008378410, 133.42, 18.86
0.0008403495, 134.70, 18.86
0.0008428580, 135.98, 18.86
0.0008453666, 137.26, 18.86
0.0008478751, 138.54, 18.86
0.0008503836, 139.82, 18.86
0.0008528921, 141.10, 18.86
0.0008554006, 142.38, 18.86
0.0008579091, 143.66, 18.86
0.0008604176, 144.94, 18.86
0.0008629261, 146.22, 18.86
0.0008654346, 147.50, 18.86
0.0008679431, 148.78, 18.86
0.0008704516, 150.06, 18.86
0.0008729601, 151.34, 18.86
0.0008754686, 152.62, 18.85
0.0008779771, 153.90, 18.82
0.0008804856, 155.18, 18.75
0.0008829941, 156.46, 18.67
0.0008855027, 157.74, 18.58
0.0008880112, 159.02, 18.48
0.0008905197, 160.30, 18.38
0.0008930282, 161.58, 18.28
0.0008955367, 162.86, 18.20
0.0008980452, 164.14, 18.13
0.0009005537, 165.42, 18.08
0.0009030622, 166.70, 18.06
0.0009055707, 167.98, 18.07
0.0009080792, 169.26, 18.11
0.0009105877, 170.54, 18.18
0.0009130962, 171.82, 18.30
0.0009156047, 173.10, 18.46
0.0009181132, 174.38, 18.66
0.0009206217, 175.66, 18.91
0.0009231302, 176.94, 19.22
0.0009256387, 178.22, 19.57
0.0009281473, 179.50, 19.98
0.0009306558, 180.78, 20.44
0.0009331643, 182.06, 20.96
0.0009356728, 183.34, 21.53
0.0009381813, 184.62, 22.16
0.0009406898, 185.90, 22.85
0.0009431983, 187.18, 23.59
0.0009457068, 188.46, 24.39
0.0009482153, 189.74, 25.24
0.0009507238, 191.02, 26.14
0.0009532323, 192.30, 27.10
0.0009557408, 193.58, 28.10
0.0009582493, 194.86, 29.16
0.0009607578, 196.14, 30.25
0.0009632663, 197.42, 31.39
0.0009657748, 198.70, 32.57
0.0009682834, 199.98, 33.79
0.0009707919, 201.26, 35.04
0.0009733004, 202.54, 36.31
0.0009758089, 203.82, 37.61
0.0009783174, 205.11, 38.93
0.0009808259, 206.39, 40.27
