cmod, load_min, load_max
0.0125822100, 797.94, 859.09
0.0126178100, 799.08, 860.93
0.0126534100, 800.47, 861.32
0.0126890100, 802.54, 863.86
0.0127246100, 804.84, 865.59
0.0127602100, 806.65, 866.76
0.0127958100, 807.69, 866.29
0.0128314100, 809.63, 868.44
0.0128670100, 810.40, 869.20
0.0129026100, 812.02, 871.33
0.0129382100, 814.53, 873.15
0.0129738100, 817.06, 873.44
0.0130094100, 818.98, 874.56
0.0130450100, 819.27, 877.04
0.0130806100, 820.57, 878.11
0.0131162000, 821.65, 877.50
0.0131518000, 823.93, 879.22
0.0131874000, 825.80, 880.83
0.0132230000, 826.87, 883.68
0.0132586000, 827.53, 883.02
0.0132942000, 829.44, 884.81
0.0133298000, 831.45, 887.23
0.0133654000, 833.61, 888.18
0.0134010000, 834.43, 889.15
0.0134366000, 836.71, 890.69
0.0134722000, 837.37, 891.47
0.0135078000, 838.74, 893.16
0.0135434000, 840.21, 895.03
0.0135790000, 842.35, 897.29
0.0136146000, 843.62, 897.22
0.0136502000, 844.47, 899.54
0.0136858000, 845.40, 899.88
0.0137214000, 847.06, 902.03
0.0137570000, 848.60, 903.26
0.0137925900, 849.90, 906.48
0.0138281900, 850.84, 906.65
0.0138637900, 852.92, 908.89
0.0138993900, 855.27, 911.52
0.0139349900, 855.94, 912.76
0.0139705900, 856.84, 913.83
0.0140061900, 859.18, 915.71
0.0140417900, 860.50, 918.11
0.0140773900, 862.03, 918.70
0.0141129900, 863.17, 920.36
0.0141485900, 863.73, 922.60
0.0141841900, 865.15, 922.92
0.0142197900, 865.90, 924.46
0.0142553900, 868.16, 926.43
0.0142909900, 869.21, 928.73
0.0143265900, 871.28, 929.99
0.0143621900, 872.98, 931.63
0.0143977900, 874.50, 933.25
0.0144333800, 875.76, 934.62
0.0144689800, 876.92, 936.67
0.0145045800, 877.13, 938.24
0.0145401800, 878.65, 940.24
0.0145757800, 880.15, 941.76
0.0146113800, 881.99, 943.48
0.0146469800, 883.82, 944.19
0.0146825800, 884.35, 946.30
0.0147181800, 885.00, 948.48
0.0147537800, 887.35, 950.02
0.0147893800, 888.25, 952.08
0.0148249800, 888.88, 954.07
0.0148605800, 888.74, 954.02
0.0148961800, 890.55, 955.08
0.0149317800, 890.97, 956.62
0.0149673800, 893.17, 958.75
0.0150029800, 893.60, 959.49
0.0150385800, 894.19, 960.87
0.0150741800, 894.05, 962.45
0.0151097700, 894.00, 963.63
0.0151453700, 896.19, 965.30
0.0151809700, 894.48, 967.34
0.0152165700, 896.64, 969.20
0.0152521700, 897.04, 971.10
0.0152877700, 898.30, 973.21
0.0153233700, 898.66, 974.33
0.0153589700, 898.66, 975.11
0.0153945700, 898.82, 976.99
0.0154301700, 900.08, 978.50
0.0154657700, 900.44, 980.06
0.0155013700, 900.92, 981.68
0.0155369700, 902.05, 983.52
0.0155725700, 903.39, 985.12
0.0156081700, 905.82, 986.56
0.0156437700, 905.85, 987.57
0.0156793700, 905.91, 989.49
0.0157149700, 906.90, 989.05
0.0157505700, 908.43, 990.87
0.0157861700, 907.25, 991.70
0.0158217700, 908.26, 993.50
0.0158573600, 908.38, 994.83
0.0158929600, 908.98, 996.56
0.0159285600, 910.18, 997.75
0.0159641600, 912.08, 998.80
0.0159997600, 913.71, 1000.51
0.0160353600, 913.34, 1001.74
0.0160709600, 913.75, 1003.58
0.0161065600, 914.15, 1005.38
0.0161421600, 915.22, 1006.06
0.0161777600, 915.85, 1007.71
0.0162133600, 916.36, 1008.50
0.0162489600, 917.67, 1011.01
0.0162845600, 917.76, 1011.61
0.0163201600, 916.87, 1013.30
0.0163557600, 915.41, 1014.50
0.0163913600, 910.53, 1015.02
0.0164269600, 910.18, 1016.48
0.0164625600, 910.25, 1016.96
0.0164981600, 910.25, 1018.28
0.0165337500, 909.60, 1019.17
0.0165693500, 908.54, 1020.05
0.0166049500, 908.69, 1021.58
0.0166405500, 910.22, 1022.60
0.0166761500, 908.92, 1024.25
0.0167117500, 909.87, 1025.54
0.0167473500, 911.67, 1025.88
0.0167829500, 911.17, 1026.54
0.0168185500, 913.73, 1025.96
0.0168541500, 914.17, 1027.88
0.0168897500, 914.17, 1029.89
0.0169253500, 914.11, 1031.66
0.0169609500, 913.53, 1033.07
0.0169965500, 914.71, 1031.71
0.0170321500, 916.36, 1033.67
0.0170677500, 917.25, 1034.03
0.0171033500, 918.28, 1035.04
0.0171389400, 918.80, 1037.13
0.0171745500, 920.45, 1037.94
0.0172101400, 920.09, 1039.98
0.0172457400, 921.48, 1040.69
0.0172813400, 921.39, 1041.03
0.0173169400, 920.46, 1041.91
0.0173525400, 922.08, 1042.28
0.0173881400, 921.50, 1044.37
0.0174237400, 923.08, 1043.27
0.0174593400, 925.43, 1044.17
0.0174949400, 926.78, 1045.28
0.0175305400, 925.38, 1046.20
0.0175661400, 927.12, 1047.17
0.0176017400, 926.92, 1047.22
0.0176373400, 926.90, 1049.05
0.0176729400, 925.85, 1049.29
0.0177085400, 926.25, 1050.36
0.0177441400, 927.99, 1051.66
0.0177797400, 929.24, 1053.43
0.0178153300, 928.91, 1054.62
0.0178509400, 929.05, 1053.45
0.0178865300, 928.60, 1055.51
0.0179221300, 929.79, 1057.04
0.0179577300, 931.55, 1057.37
0.0179933300, 932.01, 1058.88
0.0180289300, 932.77, 1059.11
0.0180645300, 932.38, 1059.61
0.0181001300, 932.55, 1060.00
0.0181357300, 932.25, 1061.46
0.0181713300, 932.24, 1063.35
0.0182069300, 931.18, 1063.65
0.0182425300, 928.87, 1063.22
0.0182781300, 928.97, 1063.30
0.0183137300, 925.73, 1064.30
0.0183493300, 925.35, 1065.63
0.0183849300, 924.10, 1068.15
0.0184205300, 923.19, 1069.11
0.0184561300, 923.42, 1070.18
0.0184917300, 922.92, 1070.78
0.0185273300, 919.37, 1070.78
0.0185629200, 918.73, 1073.80
0.0185985200, 917.50, 1073.04
0.0186341200, 916.96, 1073.80
0.0186697200, 915.32, 1074.84
0.0187053200, 915.00, 1076.32
0.0187409200, 914.98, 1077.78
0.0187765200, 914.08, 1078.63
0.0188121200, 913.58, 1079.30
0.0188477200, 913.40, 1079.81
0.0188833200, 911.96, 1081.30
0.0189189200, 911.78, 1081.74
0.0189545200, 910.62, 1083.19
0.0189901200, 909.66, 1084.70
0.0190257200, 910.19, 1085.64
0.0190613200, 908.54, 1086.41
0.0190969200, 909.14, 1086.06
0.0191325200, 907.81, 1086.80
0.0191681200, 907.07, 1088.06
0.0192037200, 905.06, 1089.27
0.0192393100, 906.31, 1089.23
0.0192749100, 905.81, 1089.90
0.0193105100, 902.91, 1091.38
0.0193461100, 904.84, 1093.02
0.0193817100, 903.14, 1092.88
0.0194173100, 902.04, 1092.55
0.0194529100, 903.36, 1092.94
0.0194885100, 902.69, 1093.74
0.0195241100, 900.29, 1094.81
0.0195597100, 898.36, 1096.12
0.0195953100, 897.98, 1096.27
0.0196309100, 897.37, 1096.82
0.0196665100, 896.20, 1098.89
0.0197021100, 895.55, 1098.96
0.0197377100, 894.16, 1099.87
0.0197733100, 894.93, 1099.81
0.0198089100, 892.61, 1101.72
0.0198445100, 892.90, 1100.80
0.0198801000, 891.04, 1102.20
0.0199157000, 891.43, 1101.92
0.0199513000, 891.74, 1103.04
0.0199869000, 890.87, 1104.16
0.0200225000, 890.44, 1105.00
0.0200581000, 888.06, 1105.34
0.0200937000, 888.37, 1104.40
0.0201293000, 888.59, 1104.72
0.0201649000, 887.75, 1105.07
0.0202005000, 887.26, 1105.87
0.0202361000, 885.93, 1104.97
0.0202717000, 885.27, 1107.55
0.0203073000, 884.82, 1110.56
0.0203429000, 884.88, 1108.27
0.0203785000, 882.68, 1107.87
0.0204141000, 882.02, 1109.09
